url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_a322a005d41402d415ee4d060a1f4f5a,,
주제,통검,,
범위,합계,,
기간,일간 : 2019-12-12 ~ 2020-12-12,,
성별,"전체(여성,남성)",,
연령대,"25~29, 30~34, 35~39",,
날짜,캠핑,날짜,텐트
2019-12-12,6.32259,2019-12-12,5.84741
2019-12-13,6.0982,2019-12-13,5.57022
2019-12-14,10.44086,2019-12-14,8.72492
2019-12-15,11.41763,2019-12-15,11.65522
2019-12-16,10.61246,2019-12-16,9.59609
2019-12-17,9.1605,2019-12-17,7.86694
2019-12-18,8.48732,2019-12-18,7.20696
2019-12-19,7.12777,2019-12-19,6.42819
2019-12-20,7.06177,2019-12-20,6.28299
2019-12-21,7.03537,2019-12-21,6.69218
2019-12-22,8.97571,2019-12-22,10.37486
2019-12-23,8.51372,2019-12-23,7.76135
2019-12-24,7.11457,2019-12-24,5.68901
2019-12-25,7.57655,2019-12-25,8.35533
2019-12-26,8.31573,2019-12-26,7.74815
2019-12-27,6.67898,2019-12-27,6.45459
2019-12-28,7.10137,2019-12-28,7.33896
2019-12-29,10.26927,2019-12-29,9.62249
2019-12-30,9.87328,2019-12-30,7.73495
2019-12-31,6.65258,2019-12-31,7.00897
2020-01-01,6.71858,2020-01-01,8.72492
2020-01-02,7.68215,2020-01-02,8.14413
2020-01-03,6.98257,2020-01-03,6.71858
2020-01-04,7.04857,2020-01-04,7.72175
2020-01-05,8.54012,2020-01-05,9.71488
2020-01-06,8.13093,2020-01-06,8.79091
2020-01-07,7.74815,2020-01-07,8.35533
2020-01-08,6.61298,2020-01-08,7.16737
2020-01-09,7.48416,2020-01-09,6.69218
2020-01-10,6.1642,2020-01-10,6.32259
2020-01-11,6.89017,2020-01-11,6.1114
2020-01-12,7.04857,2020-01-12,9.68848
2020-01-13,7.39176,2020-01-13,8.31573
2020-01-14,7.11457,2020-01-14,7.52375
2020-01-15,6.78458,2020-01-15,7.82734
2020-01-16,6.83738,2020-01-16,7.11457
2020-01-17,6.1114,2020-01-17,5.64941
2020-01-18,6.73178,2020-01-18,6.89017
2020-01-19,9.46409,2020-01-19,10.70485
2020-01-20,7.68215,2020-01-20,8.51372
2020-01-21,6.57338,2020-01-21,7.10137
2020-01-22,6.1246,2020-01-22,6.1246
2020-01-23,5.70221,2020-01-23,5.50422
2020-01-24,5.30623,2020-01-24,5.62302
2020-01-25,6.66578,2020-01-25,5.63621
2020-01-26,7.98574,2020-01-26,7.91974
2020-01-27,7.97254,2020-01-27,9.99208
2020-01-28,6.96937,2020-01-28,8.24973
2020-01-29,7.94614,2020-01-29,8.35533
2020-01-30,7.66895,2020-01-30,7.43136
2020-01-31,6.71858,2020-01-31,6.2434
2020-02-01,6.79778,2020-02-01,7.61615
2020-02-02,7.16737,2020-02-02,9.71488
2020-02-03,7.84054,2020-02-03,9.0945
2020-02-04,7.27296,2020-02-04,8.72492
2020-02-05,6.36219,2020-02-05,7.68215
2020-02-06,7.20696,2020-02-06,7.90654
2020-02-07,6.28299,2020-02-07,6.36219
2020-02-08,7.41816,2020-02-08,8.80411
2020-02-09,8.15733,2020-02-09,12.11721
2020-02-10,8.73812,2020-02-10,11.44403
2020-02-11,9.3057,2020-02-11,9.89968
2020-02-12,8.69852,2020-02-12,9.99208
2020-02-13,9.79408,2020-02-13,9.39809
2020-02-14,8.92291,2020-02-14,9.05491
2020-02-15,8.84371,2020-02-15,10.25607
2020-02-16,10.50686,2020-02-16,13.41077
2020-02-17,9.01531,2020-02-17,11.39123
2020-02-18,8.63252,2020-02-18,10.22967
2020-02-19,8.36853,2020-02-19,9.1869
2020-02-20,8.72492,2020-02-20,8.01214
2020-02-21,7.41816,2020-02-21,7.24656
2020-02-22,7.39176,2020-02-22,8.98891
2020-02-23,7.25976,2020-02-23,11.37803
2020-02-24,7.81414,2020-02-24,10.75765
2020-02-25,8.59292,2020-02-25,10.91605
2020-02-26,8.79091,2020-02-26,9.0945
2020-02-27,9.3321,2020-02-27,9.3057
2020-02-28,10.82365,2020-02-28,8.92291
2020-02-29,12.15681,2020-02-29,12.2624
2020-03-01,14.55913,2020-03-01,18.95459
2020-03-02,12.55279,2020-03-02,14.86272
2020-03-03,12.89598,2020-03-03,13.74076
2020-03-04,11.33843,2020-03-04,13.02798
2020-03-05,13.22597,2020-03-05,12.86958
2020-03-06,13.83315,2020-03-06,12.89598
2020-03-07,12.53959,2020-03-07,16.93505
2020-03-08,19.07338,2020-03-08,32.94614
2020-03-09,17.95142,2020-03-09,26.35955
